number,value,datetime_start,datetime_complete,duration,params_dropout_p,params_hidden_weights0,params_hidden_weights1,params_initializers,params_kernel1,params_kernel2,params_learning_rate,params_momentum,params_n_fc_layers,params_optimizer,params_weight_decays,state
73,1.0392108261585236,2024-04-22 09:45:40.848280,2024-04-22 09:45:56.163147,0 days 00:00:15.314867,0.40877993210823826,557.0,318.0,True,4,5,0.0012656613856259146,0.9493416559577871,3,SGD,1.0765752155872282e-05,COMPLETE
74,1.0217782258987427,2024-04-22 09:45:56.163430,2024-04-22 09:46:11.468483,0 days 00:00:15.305053,0.3671940724353889,451.0,226.0,True,4,5,0.002035039583490189,0.9876854561854308,3,SGD,3.33547571860908e-05,COMPLETE
75,1.6946049928665161,2024-04-22 09:46:11.468779,2024-04-22 09:46:26.694936,0 days 00:00:15.226157,0.23597002299635222,272.0,184.0,True,4,5,0.0027128993884023636,,3,Adam,9.349377453669526e-05,COMPLETE
76,1.264657199382782,2024-04-22 09:46:26.695223,2024-04-22 09:46:41.961620,0 days 00:00:15.266397,0.3451753734887345,391.0,263.0,True,4,5,0.0004243376981877822,0.9791812379849675,3,SGD,4.7647240986141205e-05,COMPLETE
77,1.10182523727417,2024-04-22 09:46:41.961898,2024-04-22 09:46:57.262369,0 days 00:00:15.300471,0.30768463001601415,206.0,100.0,True,4,5,0.005324247753041152,0.9741270576359526,3,SGD,0.0010606035313743484,COMPLETE
78,0.8236140012741089,2024-04-22 09:46:57.262654,2024-04-22 09:47:12.665570,0 days 00:00:15.402916,0.424505883935407,672.0,439.0,True,4,4,0.0016818040341630542,0.959812804641035,3,SGD,0.0001792471120654568,COMPLETE
79,1.0289440751075745,2024-04-22 09:47:12.665855,2024-04-22 09:47:28.048254,0 days 00:00:15.382399,0.46920987997695673,659.0,426.0,True,4,5,0.0017867123809519637,0.9279030923951124,3,SGD,2.2022500910158516e-05,COMPLETE
80,1.0532463788986206,2024-04-22 09:47:28.048548,2024-04-22 09:47:43.161392,0 days 00:00:15.112844,0.4332103409038385,595.0,479.0,True,3,3,0.00029547001195266514,,3,Adam,0.00020354033872904234,COMPLETE
81,0.9619295001029968,2024-04-22 09:47:43.161705,2024-04-22 09:47:58.530688,0 days 00:00:15.368983,0.39336396317129096,734.0,446.0,True,4,4,0.0013071366041856357,0.9571649311775301,3,SGD,0.0001383485144580678,COMPLETE
82,0.9701708257198334,2024-04-22 09:47:58.530969,2024-04-22 09:48:13.892380,0 days 00:00:15.361411,0.39084722977796726,733.0,394.0,True,4,4,0.0016722488870727114,0.9579767238945389,3,SGD,0.00015164457764544579,COMPLETE
83,1.025256633758545,2024-04-22 09:48:13.892675,2024-04-22 09:48:29.313953,0 days 00:00:15.421278,0.3890934319035711,780.0,513.0,True,4,4,0.0011492036807903615,0.9585146584612122,3,SGD,0.0001441604139883081,COMPLETE
84,1.0167513489723206,2024-04-22 09:48:29.314237,2024-04-22 09:48:44.696907,0 days 00:00:15.382670,0.42225155433059264,724.0,401.0,True,4,4,0.0024217715792961866,0.9446774983037834,3,SGD,0.00011989040551727513,COMPLETE
85,0.8705567419528961,2024-04-22 09:48:44.697194,2024-04-22 09:49:00.156928,0 days 00:00:15.459734,0.40165797047944324,802.0,547.0,True,4,4,0.0009007264603303476,0.9640936074680418,3,SGD,7.313978515130718e-05,COMPLETE
86,2.2134822607040405,2024-04-22 09:49:00.157225,2024-04-22 09:49:15.568585,0 days 00:00:15.411360,0.4000474699404579,856.0,607.0,False,4,4,0.0008827010374741986,0.9644035764359833,3,SGD,7.947092027242083e-05,COMPLETE
87,1.0021900832653046,2024-04-22 09:49:15.568903,2024-04-22 09:49:30.677119,0 days 00:00:15.108216,0.40977769921871005,,,True,4,4,0.0006550863891974429,0.9831003865960375,1,SGD,5.9434280599216335e-05,COMPLETE
